"Nama dan Tanggal","Nama","Tanggal","Rating","Review"
"Grace Shinta uli shinta uli 3 April 2021 	","Grace Shinta uli shinta uli","3 April 2021","Diberi rating 1 bintang dari 5 bintang","Parah vaksin lansia dosis ke 2 disini, parah banget udah nunggu 2 jam hanya untuk antre. Herannya vaksin pertama lancar2 aja. Habis waktu gak jelas buruk sekali. Kasian orgtua2 nya drpd vaksin disini mending ke aplikasi sebelah aja"
"iam blinkeuu 6 April 2021 	","iam blinkeuu","6 April 2021","Diberi rating 4 bintang dari 5 bintang","Dokternya disini luamayan-sangat berpengalaman, fitur""nya juga membantu banget"
"Shopy Ayu Megaswati 19 April 2021 	","Shopy Ayu Megaswati","19 April 2021","Diberi rating 5 bintang dari 5 bintang","Thankyou banget halodoc🤗membantu banget buat aku yg selalu panik kalo ada keluhan apa2😊🙏"
"ICHA FARYANTI 5 Maret 2021 	","ICHA FARYANTI","5 Maret 2021","Diberi rating 2 bintang dari 5 bintang","Pertama kali instal untuk bisa daftarin vaksin lansia, di tanggalnya bertuliskan slot tersedia. Sudah isi data dan upload KTP juga. Giliran di submit udah penuh tulisnya. Auto recheck dong, eh ternyata ttep masih tersedia slotnya, resubmit malah penuh. Ga jelas beud. Segera perbaiki."
"Ibnu Supriyo 24 April 2021 	","Ibnu Supriyo","24 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu, terutama dalam pembelian obat di luar kota"
"muk sun 8 April 2021 	","muk sun","8 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu dan memudahkan bagi pasien / keluarga untuk pelayanan kesehatan"
"risma simatupang 11 Maret 2021 	","risma simatupang","11 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Konsultasi memuaskan, juga sangat recomended buat saat seperti ini yg tdk mau keluar rumah krn mengurangi mobilitas.. Semoga dokter dokter yg ada di halodoc bisa tetap sehat, supaya bisa tetap membantu juga melayani banyak nya keluhan pasien yg membutuhkan. (sangat recomended)"
"Dancis Girury 14 April 2021 	","Dancis Girury","14 April 2021","Diberi rating 5 bintang dari 5 bintang","Saya kasih bintang 5 semoga aplikasi ini bisa memberikan pelayanan yang lebih baik."
"Nofiana Rahmawati 17 April 2021 	","Nofiana Rahmawati","17 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu sekali, dokternya enak, cepat responnnya.."
"Widyawati Jahja 5 April 2021 	","Widyawati Jahja","5 April 2021","Diberi rating 5 bintang dari 5 bintang","Puas dengan pelayanan dilapangan terkait vaksin 1 dan dan 2 yg saya terima lancar dan cepat. Petugasnya ramah2, sabar dan penuh perhatian. Terimakasih Halodoc, salam sehat untuk kita semua 🙏🙏🙏🙏"
"Sella humairoh 14 April 2021 	","Sella humairoh","14 April 2021","Diberi rating 4 bintang dari 5 bintang","Tolong dong kasih tau gmn cara bisa chat docter ny ..soal ny pembayaran ny GK bisa2"
"Uray Salawati 12 April 2021 	","Uray Salawati","12 April 2021","Diberi rating 5 bintang dari 5 bintang","Bekerja sambil konsultasi dg dokter..sangat menghemat waktu..tks halodoc.."
"luthfiana khairunnisa 17 April 2021 	","luthfiana khairunnisa","17 April 2021","Diberi rating 5 bintang dari 5 bintang","Terbaik, dalam situasi apapun dan jam berapapun bisa selalu konsultasi"
"Feti Dawud 7 April 2021 	","Feti Dawud","7 April 2021","Diberi rating 5 bintang dari 5 bintang","Menyenangkan bisa langsung konsultasi dengandokyer tanpa harus keluar rumah"
"evi yuliani 11 Maret 2021 	","evi yuliani","11 Maret 2021","Diberi rating 1 bintang dari 5 bintang","Saya buat janji sesuai jadwal yg tersedia di Lab Prodia Mega Galaxy Sby : pd 11 maret jam 9 pagi. Pd hari H ternyata Prodia tutup. Herannya : kenapa jadwal tsb tersedia di aplikasi halodoc ? Ada bbrp org juga kecele. Sdh Chat ke Bantuan halodoc tapi slow respon, 7 jam belum ada solusi. Ada sms halodoc utk membatalkan/mereschedul, saya coba tapi aplikasi tdk bisa. jawaban aplikasi : pembatalan hny berlaku hingga 12 jam sblm jdwl konsul. Reshedule 1 jam sblm jdwl konsul. Ampun ampun deh."
"khanzyumey Channel 7 April 2021 	","khanzyumey Channel","7 April 2021","Diberi rating 5 bintang dari 5 bintang","Smoga dengan adanya halodoc bs memBantu pasien untuk konsultasi dr rumah terima kasih"
"Elis puspita 2 April 2021 	","Elis puspita","2 April 2021","Diberi rating 5 bintang dari 5 bintang","Pesen obat di halodoc pelayanan fast respon dan langsung dikirim pas banget lagi urgent"
"Fanny Dennise 10 Maret 2021 	","Fanny Dennise","10 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Suka banget dengan aplikasi ini, sangat membantu. Pelayanannya juga bagus. 1 kali pernah ada case kurang kirim barang, utk kekurangannya langsung di kirim keesokan harinya. Sukses terus halodoc, makin ditingkatkan lagi pelayanannya."
"Catherina Agusdhina 15 April 2021 	","Catherina Agusdhina","15 April 2021","Diberi rating 5 bintang dari 5 bintang","Menolong banget untuk.pertolongan pertama pada kucing sy, Drh nya sangat membantu 👍👍👍"
"Wily Quenn 16 April 2021 	","Wily Quenn","16 April 2021","Diberi rating 5 bintang dari 5 bintang","Dokter ramah, baik dan melayani dengan bijaksna terima kasih halodoc"
"M Husni 13 April 2021 	","M Husni","13 April 2021","Diberi rating 5 bintang dari 5 bintang","Terima kasih sdh memberikan vaksin covid ke 2 dgn tdk memberi efek yg segnifikan"
"Citra Dihayu Probowati 23 April 2021 	","Citra Dihayu Probowati","23 April 2021","Diberi rating 5 bintang dari 5 bintang","Alhamdulillah.. Membantu urusan kesehatan 24 jam.."
"Hanifa channel 12 April 2021 	","Hanifa channel","12 April 2021","Diberi rating 5 bintang dari 5 bintang","Enak dipakai nya aplikasinya. Buat cari obat dg harga terjangkau jg BS"
"Dona Dwi 21 April 2021 	","Dona Dwi","21 April 2021","Diberi rating 5 bintang dari 5 bintang","Keren banget fast respon ,sy konsul ke dokter kandungan"
"Dewi Kartika Handa Yanti 4 Maret 2021 	","Dewi Kartika Handa Yanti","4 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Kl aja bisa sy kasih lebih dr 5 bintang 🤩 pasti sy kasih 10.. Ini Aplikasi terbaik pembelian kebutuhan medis disaat darurat pada waktu yg tidak memungkinkan kita utk keluar rumah.... Sangat bagus sekali, masukannya hanya semoga semakin banyak apotek yg bekerja sama dgn aplikasi ini, jd jarak pickup obatnya gak selalu jauh 😁👍"
"Rahayu Tri Kereni 16 Februari 2021 	","Rahayu Tri Kereni","16 Februari 2021","Diberi rating 5 bintang dari 5 bintang","Puas konsultasi dengan dokter di Halodoc, cuma kalau saya pas di Papua seperti sekarang ini masih susah kalau Nebus obat hanya dengan nunjukin chat, bahkan dulu hampir tidak mau ngasih obatnya, untung akhirnya mau ngasih juga meski harus tanda tangan segala"
"herma irawati 5 Maret 2021 	","herma irawati","5 Maret 2021","Diberi rating 2 bintang dari 5 bintang","Niat install aplikasi ini karna pgnnya mempermudah beli obat, karna kondisi saya lagi sakit dan di kos sendirian. Tpi saya beli hari ini estimasi nyampenya 5 hari lagi.. Aplikasi ini tidak cocok digunakan untuk kondisi urgent.. Ini kalau yg beli obat lewat sini orang yg sakit parah keburu wasalamm obatnya baru nyampe.. Saya akan mengedit ulasan ini jika aplikasi halodoc sudah diperbaiki lagi sistemnya"
"Darul Rully 23 Maret 2021 	","Darul Rully","23 Maret 2021","Diberi rating 3 bintang dari 5 bintang","Selamat Siang. Salam. Hari ini saya dapat telefon yang mengatas namakan Halodoc. Dia menyampaikan mengenai biaya claim dan pengaktifan biaya bulanan, tapi dia meminta untuk menyebut No. Rek. Untuk sistem pemotongan 39 Ribu. Mohon di konfirmasi apakah ini benar dari Halodoc, takutnya saldo akan tepotong tiap bulannya. Terima kasih."
"Rere Rere 20 April 2021 	","Rere Rere","20 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu di saat pandemi seperti skrg ini.. Thanks halodoc"
"wahyu ningrum 5 April 2021 	","wahyu ningrum","5 April 2021","Diberi rating 4 bintang dari 5 bintang","Baru sekali konsultasi, kebetulan dokternya nyaman saat saya menyampaikan keluhan, meminta foto untuk melihat langsung area sakitnya, dan pertanyaan dari dokter sangat detail. semoga resepnya cocok, mengatasi keluhan saya. Terimakasih dok."
"rina widuri 10 April 2021 	","rina widuri","10 April 2021","Diberi rating 5 bintang dari 5 bintang","Praktis dan oke dokternya dalam menjawab keluhan kita, terimakasih halodoc"
"Nurul Luthfiyah 7 April 2021 	","Nurul Luthfiyah","7 April 2021","Diberi rating 5 bintang dari 5 bintang","Terimakasih halodoc, aplikasi terpercaya utk chat langsung dengan dokter👍"
"Mata Jalan Id 6 April 2021 	","Mata Jalan Id","6 April 2021","Diberi rating 3 bintang dari 5 bintang","Cb di kaji lagi vaksin untuk mitra ojol krn sejatinya masih bnyk mitra yg pk 2 atau 3 app ojol buat nyari rejeki ada gojek grab indriver maxim,ntr klo dr semua app wajib vaksin mitrannya kita yg repot.bila perlu batalin krj sama vaksin biar mitra di vaksin lewat aparatur pemerintah."
"0465 Mawaddati 26 Februari 2021 	","0465 Mawaddati","26 Februari 2021","Diberi rating 5 bintang dari 5 bintang","Halo dokter, saya ibu dari anak bayi berusia 1,2bln, anak saya sekarang lagi di rawat di rumah sakit, hasil rongsen nya dia mengidap penyakit radang paru2, tolong dokter gimana agar anak saya sembuh total dari penyakit tersebut, trimaksih sebelumnya🙏🙏🙏"
"Ratieh Rachmawati 14 April 2021 	","Ratieh Rachmawati","14 April 2021","Diberi rating 5 bintang dari 5 bintang","Respon yg sangat baik dari dokternya,,terima kasih banyak halodoc"
"Benny Rachmadani 5 April 2021 	","Benny Rachmadani","5 April 2021","Diberi rating 5 bintang dari 5 bintang","Aplikasi ini sangat berguna sekali bagi semua. Terima kasih sudah mengadakan kegiatan vaksin serentak hari ini di prambanan sleman.terima kasih juga kepada pemerintahan diy yogyakarta dan para sponsor.kegiatan semoga para pembuatan kegiatan ini mendapat kan pahala yg berlimpah dari Tuhan Yang Maha Esa. Terima kasih sekali lagi.best regard benny"
"Dwi Yuli Yani 7 April 2021 	","Dwi Yuli Yani","7 April 2021","Diberi rating 2 bintang dari 5 bintang","Posisi pengambilan obat selalu jauh dari rumah dan harus menunggu lama"
"Dwi Indriani Aulia 16 Maret 2021 	","Dwi Indriani Aulia","16 Maret 2021","Diberi rating 1 bintang dari 5 bintang","Saya sudah buat janji, sudah buka aps tepat waktu. Dan pas jam nya tiba dokternya ngak bales2 dan apsnya tbtb cancel. Padahal tulisannya di aplikasi, dia sedang online. Sangat mengecewakan. Saya mendownload aps ini karena memang sedang butuh, kalau seperti ini mah malah menjadi ngak berguna aps nya. Mau saya donasikan ke menu Donasi, malah tidak ada pilihan pembayaran dengan Saldo Halodoc. Walau jumlahnya kecil, tapi ini menunjukan bahwa pelayanannya tidak sebanding dengan aplikasi sebelah"
"Lucia Hayon 3 Maret 2021 	","Lucia Hayon","3 Maret 2021","Diberi rating 1 bintang dari 5 bintang","Halo doc, klg sy periksa PCR hasilnya H 1. Periksa dari tgl 2 maret jam 10.30. Yg di drive thru kemayoran.Tapi sampai hari ini tgl 3 maret jam 12.08 blm ada hslnya. Waduh gmn sih.sedangkan sy butuh hslnya cepat. Kok tambah lama pelayanan pemeriksaan covid dihalo doc menurun ya. Sy periksa bukan yg gratis loh"
"Vitria Indivara 14 April 2021 	","Vitria Indivara","14 April 2021","Diberi rating 5 bintang dari 5 bintang","Pengalaman pertama asyik banget bisa konsultasi dengan dokter pilihan"
"Sinta Damayanti 17 Maret 2021 	","Sinta Damayanti","17 Maret 2021","Diberi rating 1 bintang dari 5 bintang","Mohon maaf sy kasih bintang 1 . Jelek banget pelayanannya. Pesen vitamin dari tanggal 12 estimasi sampai tanggal 16 tapi sampai skrng blm sampai juga. Masih proses terus . Minta tolong CS di telp ga bisa , di chat jawabannya Sm nanti di cek nanti di cek . Entah sampai kapan di cek nya . Mau pembatalan pesanan buat beli ke e-commerce lain tp saldo ga bisa di tarik ke rekening. Tolong dong tingkatkan lagi pelayanannya . Tolong segera di kirim pesanan saya ."
"Afri Hun 18 April 2021 	","Afri Hun","18 April 2021","Diberi rating 5 bintang dari 5 bintang","Selalu Sangat membantu.. terima ksh utk para dokter ny n aplikasi ny 🙏🙏"
"Puty Mairawati 13 April 2021 	","Puty Mairawati","13 April 2021","Diberi rating 5 bintang dari 5 bintang","Memudahkan saya untuk konsultasi dokter tanpa harus bertemu langsung"
"Dillapia BayuKrynngtys 6 April 2021 	","Dillapia BayuKrynngtys","6 April 2021","Diberi rating 5 bintang dari 5 bintang","Konsultasi keluhan jadi mudah dan ga perlu ribet antri di rumah sakit"
"Bryan F 20 April 2021 	","Bryan F","20 April 2021","Diberi rating 1 bintang dari 5 bintang","Kenapa tidak ada dokter umum yang gratis iya Padahal penting banget"
"Yustartube Channel 21 Maret 2021 	","Yustartube Channel","21 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Tertolong banget dengan adanya app ini apalagi di jaman Covid ini agak takut kalo ke rumah sakit...bahkan bisa juga lho konsultasi utk hewan peliharaan kita, konsultasi gigi dll...pokoknya tertolong sekali...terima kasih halo doc"
"Venny Katarina 23 April 2021 	","Venny Katarina","23 April 2021","Diberi rating 5 bintang dari 5 bintang","Penjelasan Dokter lengkap dan ramah. Terimakasih"
"Norma Lahayati 15 April 2021 	","Norma Lahayati","15 April 2021","Diberi rating 5 bintang dari 5 bintang","Halodoc selalu menjadi yang terbaik dan selalu bisa diandalkan.. 🥰😍"
"Euis Noors 1 April 2021 	","Euis Noors","1 April 2021","Diberi rating 5 bintang dari 5 bintang","Malam2 saat sakit dan bingung nanya kemana, ada halodoc yang siap menjawab semua keluhan dan obat pun langsung diantar, hanya ada kendala di pengiriman kadang driver tidak bisa kontak langsung teleponnya"
"florentinus dwi 10 April 2021 	","florentinus dwi","10 April 2021","Diberi rating 5 bintang dari 5 bintang","Yang jelas lewat online untuk saat ini adalah pilihan yang tepat dan aman"
"Lula Nabila 13 April 2021 	","Lula Nabila","13 April 2021","Diberi rating 5 bintang dari 5 bintang","Cukup membantu tapi transaksi biaya nya lebih di permudah lagi ya"
"Haikal Ibn 8 April 2021 	","Haikal Ibn","8 April 2021","Diberi rating 5 bintang dari 5 bintang","Percakapan dengan dokter sangat jelas dan arahannya bagus....."
"Rita Gunawan 2 April 2021 	","Rita Gunawan","2 April 2021","Diberi rating 5 bintang dari 5 bintang","Mau tanya, vaksin c19 ke 1 saya tgl 29 Maret 2021, mau daftar utk vaksin ke2 ga bisa,karena kode kupon belom dikirim, sudah lewat 3 hari,gimana urusnya,terima kasih"
"R Rifky 19 April 2021 	","R Rifky","19 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu, bisa berkonsultasi langsung tanpa ke dokter."
"Amal Amrullah 24 April 2021 	","Amal Amrullah","24 April 2021","Diberi rating 5 bintang dari 5 bintang","Manteb sih. Ke dokter ga susah dan g mahal juga 👍👍👍👍"
"AGUS SUHENDI 3 Maret 2021 	","AGUS SUHENDI","3 Maret 2021","Diberi rating 2 bintang dari 5 bintang","kenapa sudah bayar tapi dokternya sibuk? Chat ulang ga digubris. Blum juga nyapa udah bilang dokternya sibuk. Pdhal gopay sudah kpotong. Pengembalian dana 5 hari terlalu lama.Mohon diprtimbngkan jika dokter tdk mau gubris,lebih baik dilaporkan saja.Sibuk ngapain coba? kalo berani daftar halodoc sdh resiko hrs nerima permintaan konsultasi pasien manapun donk jgn diemin gajls.REFUND lebih flexible 1x24 jam.RESPON Selama sesi berbayar adalah hak pasien, JANGN MAKAN GAJI BUTA. CHAT 30 MNT DIEM2 BAE?"
"Saty Nurwaty 8 Maret 2021 	","Saty Nurwaty","8 Maret 2021","Diberi rating 1 bintang dari 5 bintang","Tepat hari ini tanggal 8 Maret 2021 saldo di ATM saya di ambil 39.000 karna program yang sedang di adakan oleh hallodocter karna kemaren ada yang telfon dan mengatasnamakan CS hallodocter. Saya merasa di rugikan dan saya ingin berhenti , bagaimana cara untuk berhenti dari langganan itu ????"
"indah sari 23 April 2021 	","indah sari","23 April 2021","Diberi rating 1 bintang dari 5 bintang","Transaksi gagal tp saldo tetap kepotong, pas diliat riwayat transaksinya gak ada"
"mang borpump 5 Maret 2021 	","mang borpump","5 Maret 2021","Diberi rating 2 bintang dari 5 bintang","layanan proses cepat, catatan untuk pasien dengan status gejala covid, para dokter di kasih himbauan untuk mengasih pil tidur, sesuai dosis yang di perlukan, orsng sakit butuh istirahat yang cukup"
"Gertrude Nelwan 26 Februari 2021 	","Gertrude Nelwan","26 Februari 2021","Diberi rating 4 bintang dari 5 bintang","Semua untuk beli obat dan layanan dokter bagus, tetapi ada satu gangguan cukup besar ya itu tidak bisa ganti nomor jadi kalau nomor ganti tidak bisa pakai email lama dan semua riwayat transaksi sebelumnya hilang. Hanya satu masalah ini dengan aplikasi"
"dewi cahyandari 24 Februari 2021 	","dewi cahyandari","24 Februari 2021","Diberi rating 5 bintang dari 5 bintang","Selalu senang menggunakan aplikasi ini.. fast respon, obat juga bs lgsg diantar setelah di beri resep, pelayanan 24 jam dan sering mendapatkan dokter yang baik serta informatif...terima kasih halodoc"
"Ismina Dwi 13 Februari 2021 	","Ismina Dwi","13 Februari 2021","Diberi rating 1 bintang dari 5 bintang","Halodoc, pembayarannya apa tidak diperluas lagi? Masa iya cuma gopay, bca, mandiri dan debit yang saya gak tau apa maksudnya. Saya jadi ragu mau cobain apknya, mau ke dokter langsung juga jauh dan pandemi gini. Kalau bisa pembayarannya dilakukan dimana aja, indomaret, alfamart, dsb. Kalo di kota akses emang gampang, nah kalo di desa gimana? Susah juga jadinya. Intinya ditingkatkan lagi plissss"
"Mochamad Djen 14 April 2021 	","Mochamad Djen","14 April 2021","Diberi rating 5 bintang dari 5 bintang","sangat membantu terutama utk lansia dan biaya kesehatannya terbatas"
"Yuda FA 10 Maret 2021 	","Yuda FA","10 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Sama seperti saat kita konsultasi dgn dokter pada umumnya, hanya dilakukan secara on line. Sangat memudahkan sekali. Banyak pilihan dokter dan range biaya yg bisa disesuaikan. Terima kasih Halo Doc."
"Lius Risnuwanto 16 Maret 2021 	","Lius Risnuwanto","16 Maret 2021","Diberi rating 4 bintang dari 5 bintang","Aplikasi cukup membantu dan bisa digunakan oleh kalangan luas terbatas khususnya milenial, untuk konsultasi tipis-tipis. Saran, muculkan saldo nya di profile pemilik akun dan permudah lagi cara mengisi saldo dari berbagi bank dan aplikasi bayar2 lainnya."
"fazila Prasetio 11 April 2021 	","fazila Prasetio","11 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu sekali, apalagi saat masa pandemi spt ini."
"yoppy rugian 17 April 2021 	","yoppy rugian","17 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat bermanfaat buat orang yg membutuhkan bantuan secara Cepat"
"H3RM4N F4UZI 28 Maret 2021 	","H3RM4N F4UZI","28 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Sangat canggih bisa langsung konsultasi dengan dokter ahlinya tanpa harus datang ke rumah sakit.respon cepat dari dokter juga sangat membantu saya yg memang sedang membutuhkan pelayanan kesehatan"
"ajag ijig traveler 24 April 2021 	","ajag ijig traveler","24 April 2021","Diberi rating 1 bintang dari 5 bintang","2x sudah bikin janji tapi tempat ravid nya tutup.."
"JH Pjt 16 Maret 2021 	","JH Pjt","16 Maret 2021","Diberi rating 1 bintang dari 5 bintang","Bikin Aplikasi Ambil Antrian Online aja ya , kalo gak bisa jadi aplikasi yang terintegras . Ditanya mana hasil cek nya , jawab nya sedang kami upayakan, gitu aja terus cuma bikin laporan laporan laporan dan laporan.. Sehat tanpa Ribet dengan halodoc , expetasi kami pun sama sebenarnya dengan tujuan utama halodoc cuma boh ya fair lah sama slogan nya . Kalo customer tetep kudu ke klinik bolak balik nanya hasil test udh keluar apa belum , ngapain pake online ."
"Vidy Widya 9 Maret 2021 	","Vidy Widya","9 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Semenjak ada halodoc merasa terbantu banget apalagi bs konsultasi beli obat dari rmh tanpa hrs antri ke rmh sakit ataupun ke apotik. Yang lebih enak nya lagi ada diskon utk sesi konsultasi dgn dokter nya. Makasi ya halodoc memudahkan hidup semoga makin banyak promo² nya. Sukses slalu halodoc 👍"
"Budi Anton Sitepu 24 Maret 2021 	","Budi Anton Sitepu","24 Maret 2021","Diberi rating 1 bintang dari 5 bintang","Saya mengalami kekesalan dengan appsnya. Saya mendaftar untuk vaksinasi lansia berhubung saya sudah lansia. Saya buat janji pada tanggal 25 untuk vaksinasi sejak seminggu yang lalu tapi tiba-tiba dibatalkan"
"AJ Channel 4 April 2021 	","AJ Channel","4 April 2021","Diberi rating 1 bintang dari 5 bintang","Aplikasinya jelek bgt, sudah aktivasi malah loading terus terusan, gk bisa diklik lagi"
"Esther Satyastuti 14 April 2021 	","Esther Satyastuti","14 April 2021","Diberi rating 5 bintang dari 5 bintang","Puas n Bgs ulasannya, saya cocok.Dr nya ramah dan cocok obatnya."
"Wiwien 8 April 2021 	","Wiwien","8 April 2021","Diberi rating 5 bintang dari 5 bintang","Terima kasih ,dg konsultasi lewat Halodoc sangat membantu kami"
"Wiranto Bakri Katti 24 Februari 2021 	","Wiranto Bakri Katti","24 Februari 2021","Diberi rating 5 bintang dari 5 bintang","Pelayanan halo doc sangat memudahkan mendapatkan obat, karena saya sudah keliling 4 apotek tidak terlalu lengkap tapi halodoc menjadi solusi terbaik dengan kelengkapan obatnya. Terima kasih, Halodoc"
"Anisa Dilla 18 Februari 2021 	","Anisa Dilla","18 Februari 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu.. tapi pas saya pesen obat lamaaa banget sampainya padahal lagi darurat segera butuh 🥺 udah 6 hari ini belum sampai :(( Trus tidak ada histori perjalanan paket obatnya sampe mana jadi kaya menunggu ga pasti sampenya kapan.. Update : Terimakasih tim halodoc cepat merespon dan memberi kejelasan 😊🙏"
"Stephanie oktavia 14 Maret 2021 	","Stephanie oktavia","14 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Sangat bermanfaat di saat anak kami sakit dimalam hari,kami tidak perlu ke RS.hanya chat dgn dokter melalui aplikasi Halodoc smuanya beres ,apalagi di masa pandemic bgini,thx bantuannya para dokter dan thx juga utk aplikasi Halodoc"
"YUSUF GUNAWAN 19 April 2021 	","YUSUF GUNAWAN","19 April 2021","Diberi rating 5 bintang dari 5 bintang","Mantap, cepat konsultasi nya.. Terimakasih halodock."
"Herlina Sahip 5 Maret 2021 	","Herlina Sahip","5 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Halo dokter. Satu kamar kami terpisahkan. Dipakai untuk isolasi mandiri. Karena satu anggota keluar ga kami kena covid 19. Sudah sembuh sekarang kamar itu mau disterilkan. Berapa hari setelah dipakai boleh masuk kamar tersebutlah"
"Annazasya punalove d'cruz 23 April 2021 	","Annazasya punalove d'cruz","23 April 2021","Diberi rating 3 bintang dari 5 bintang","Setelah diperbarui aplikasi tidak bisa dibuka"
"ida ayu indrati 9 April 2021 	","ida ayu indrati","9 April 2021","Diberi rating 5 bintang dari 5 bintang","Aplikasi ini bermanfaat bagi saya terutama dalam pembelian obat."
"Haris Surya 19 April 2021 	","Haris Surya","19 April 2021","Diberi rating 5 bintang dari 5 bintang","dokter nya bagus..informasi n ya jelas dan sangat menolong"
"dini hildah 23 Maret 2021 	","dini hildah","23 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Saya senang berobat dan konsul sama doktet shanti tandayu internist yang ramah dan sangat jelas tidak bertele² dalam memberi obat dan arahan. Alhamdulilah isk saya sudah membaik. Terima kasih halodoc sangat bermanfaat bagi saya. 👍👍👍👍👍"
"Sofyan My 7 April 2021 	","Sofyan My","7 April 2021","Diberi rating 3 bintang dari 5 bintang","Sy driver gojek kmrn dpt pesan tuk vaksin covid tp harus bawa 2 orang lansia. Apa sy bs mendapatkn vaksin tnp membawa 2 org lansia ?"
"Dini NA 9 Maret 2021 	","Dini NA","9 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Aplikasi ini sangat membantu ditengah pandemi covid19 ini, kita gk perlu keluar rumah tinggal memggunakan aplikasi ini. Thanks halodoc, tingkatkan terus kualitasnya ya."
"Titik Mercyana 16 April 2021 	","Titik Mercyana","16 April 2021","Diberi rating 5 bintang dari 5 bintang","Dgn halodoc janji dgn dokter , vaksin manula drive thru semua lbh mudah..terimakasih halodoc"
"Wahyu Kurniawan 6 April 2021 	","Wahyu Kurniawan","6 April 2021","Diberi rating 5 bintang dari 5 bintang","Selalu ingin berpartisipasi dalam penanggulangan covid 19"
"Zainal 01051987 9 April 2021 	","Zainal 01051987","9 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu dan memuaskan informasi dan pelayanan nya"
"Fitrah tri Albany_004 18 Maret 2021 	","Fitrah tri Albany_004","18 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Sebelumnya saya kasih bintang 1, soalnya ad kendala dengan pembayay melalui gopay. Tapi penyelesaian masalah dari tim halodoc sangat cepat dan sangat membantu, terimakasih buat tim halodoc👍"
"Dessy Syani 8 Maret 2021 	","Dessy Syani","8 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Sangat beruntung punya aplikasi Halodoc, krna gak perlu antri2 lagi di RS atau klinik. Dan obat2 nya juga yg di rekomendasikan bener2 manjur."
"Mas_Arif80 7 April 2021 	","Mas_Arif80","7 April 2021","Diberi rating 3 bintang dari 5 bintang","Sudah vaksin tapi belum keluar sertifikat vaksinnya kenapa ya min"
"ganjar saefulloh 20 April 2021 	","ganjar saefulloh","20 April 2021","Diberi rating 5 bintang dari 5 bintang","Aplikasinya bagus dan pelayanan konsultasinya cepat, respon apotiknya cepat"
"ace kurniawan 22 Maret 2021 	","ace kurniawan","22 Maret 2021","Diberi rating 5 bintang dari 5 bintang","untuk pemesanan obat untuk fitur chatnya tolong jangan dialihkan ke fitur SMS dong karena itu butuh pulsa kalo bisa dialihkan ke fitur gojeknya atau buat fitur chat sendiri dari aplikasi halo doc jadi kita bisa konfirmasi ke driver tanpa harus pake pulsa"
"Lucky Person 8 Maret 2021 	","Lucky Person","8 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Waw. Dokter nya ramah. Diskusi enak n lancar...salut. ngak sangka bagus sekali. Ngak sampai 2 jam obat sudah ditangan......"
"Adi Rifangga 18 Maret 2021 	","Adi Rifangga","18 Maret 2021","Diberi rating 1 bintang dari 5 bintang","Asli parah aplikasi ini, niat nya mau mempercepat untuk urusan rapid antigen tapi malah terkendala di aplikasi ini, sia2 sdh berharap berharap berangkat kerja malah tidak jadi. Dan parahnya dana sampai sekràng belum dikembalikan dari pihak halodoc"
"achmad kailani 22 Februari 2021 	","achmad kailani","22 Februari 2021","Diberi rating 5 bintang dari 5 bintang","Ini baru pertama kali menggunakan aplikasi halodoc, terutama saat konsultasi dengan dokter. sangat bermanfaat sekali saat kondisi seperti ini, tapi harus benar2 menjelaskan keluhannya agar tidak salah diagnosa."
"Tasum Ramansyah 21 Maret 2021 	","Tasum Ramansyah","21 Maret 2021","Diberi rating 5 bintang dari 5 bintang","Cepat tepat hemat dan efesien utk buat janji vaksinasi covid19 lansia... Aplikasi ini sangat membantu dan skrg tinggal buat janji vaksinasi yg kedua.. Sukses dan selalu amanah buat Halodoc...👍🙏🙏"
"derira fanela 27 Februari 2021 	","derira fanela","27 Februari 2021","Diberi rating 5 bintang dari 5 bintang","Terima kasih hallo doc...di saat pandemi paling aman kesini...saya selalu konsul dengan dokter senior yang sudah menjadi langganan kami selama 1 tahun ini...terima kasih banyak"
