,postag
81,"[('kali', 'NND'), ('konsultasi', 'NN'), ('bagus', 'JJ'), ('kali', 'NN'), ('konsultasi', 'NN'), ('drh', 'NN'), ('pelayanan', 'NN'), ('parah', 'NN'), ('blsin', 'NN'), ('chat', 'VB'), ('luama', 'NN'), ('wktu', 'NN'), ('puluh', 'CD'), ('menit', 'NN'), ('habis', 'JJ'), ('menyarankan', 'VB'), ('klinik', 'NN'), ('drh', 'NN'), ('langsung', 'RB'), ('curahan', 'NN'), ('hati', 'VB'), ('kucing', 'NN'), ('bla', 'NN'), ('bla', 'NN'), ('bla', 'NN'), ('konsultasi', 'NN'), ('drh', 'NN'), ('mencari', 'VB'), ('solusi', 'NN'), ('kucing', 'FW'), ('jwbn', 'FW'), ('mencla', 'FW'), ('mencle', 'FW'), ('bahasa', 'NN'), ('sopan', 'NN'), ('mangil', 'JJ'), ('bpkatau', 'CC'), ('saudara', 'NN'), ('tlg', 'NN'), ('seleksi', 'NN'), ('rekrut', 'IN'), ('dokter', 'NN'), ('jelek', 'NN'), ('pelayanan', 'NN'), ('kuapok', 'NN'), ('deh', 'JJ')]"
82,"[('customer', 'FW'), ('service', 'FW'), ('halodoc', 'FW'), ('mengalami', 'VB'), ('kendala', 'NN'), ('sehinga', 'NN'), ('be', 'FW'), ('menelponatau', 'CC'), ('chat', 'VB'), ('tim', 'NN'), ('help', 'FW'), ('halodoc', 'FW')]"
83,"[('sat', 'NN'), ('selesai', 'VB'), ('pembayaran', 'NN'), ('sukses', 'JJ'), ('terpotong', 'VB'), ('saldo', 'NN'), ('eh', 'NN'), ('dokter', 'NN'), ('sibuk', 'NN'), ('pengembalian', 'NN'), ('dana', 'NN'), ('butuh', 'VB'), ('hinga', 'NN'), ('belas', 'JJ'), ('terhitung', 'VB'), ('belas', 'NN'), ('masuk', 'VB'), ('konfirmasi', 'NN'), ('bank', 'NN'), ('terkait', 'VB'), ('aduh', 'VB'), ('otomatis', 'JJ'), ('dana', 'NN'), ('dikembalikan', 'VB'), ('masuk', 'VB'), ('rekening', 'NN'), ('konfirmasi', 'NN'), ('bank', 'NN'), ('ribet', 'NN'), ('tolong', 'VB'), ('permudah', 'NN'), ('pengembalian', 'NN'), ('dana', 'NN'), ('orang', 'NN'), ('rumah', 'NN'), ('bank', 'NN')]"
84,"[('sederhana', 'NN'), ('aplikasi', 'NN'), ('kebutuhan', 'NN'), ('medis', 'JJ'), ('pesan', 'NN'), ('mudah', 'JJ'), ('cepat', 'JJ')]"
85,"[('memgecewakan', 'VB'), ('kali', 'NN'), ('daftar', 'NN'), ('vaksin', 'NN'), ('csembilan', 'NN'), ('belas', 'JJ'), ('lanjut', 'VB'), ('usia', 'NN'), ('ditolak', 'VB'), ('alasan', 'NN'), ('mesti', 'MD'), ('pakai', 'VB'), ('ktp', 'NN'), ('suket', 'NN'), ('domisili', 'VB'), ('sebenar', 'NN'), ('vaksinasi', 'NN'), ('csembilan', 'NN'), ('belas', 'JJ'), ('mengunakan', 'VB'), ('suket', 'NN'), ('domisili', 'VB'), ('nama', 'NN'), ('vaksin', 'NN'), ('gratis', 'JJ'), ('iya', 'NN'), ('warga', 'NN'), ('negara', 'NN'), ('indonesia', 'NN'), ('semoga', 'NN'), ('ulasan', 'NN'), ('dihapus', 'FW'), ('admin', 'FW'), ('halodoc', 'FW')]"
86,"[('terima', 'CD'), ('kasih', 'NN'), ('gojek', 'NN'), ('vaksinasi', 'NN'), ('prambanan', 'NN'), ('bagus', 'JJ'), ('pelayanan', 'NN'), ('le', 'NN'), ('nyuntik', 'NN'), ('blas', 'NN'), ('ra', 'NN'), ('loro', 'JJ')]"
87,"[('halodoc', 'FW'), ('profesional', 'FW'), ('halodoc', 'FW'), ('terbantu', 'FW')]"
88,"[('alhamdulilah', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('tatap', 'RB'), ('muka', 'VB')]"
89,"[('kali', 'NND'), ('konsultasi', 'NN'), ('puas', 'JJ'), ('dokter', 'NN'), ('membantu', 'VB')]"
90,"[('halodoc', 'NN'), ('bermanfat', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('jempolan', 'NN'), ('halodoc', 'FW')]"
91,"[('temanhidupsehat', 'VB'), ('membantu', 'VB'), ('konsultasi', 'NN'), ('informasi', 'NN'), ('terkait', 'VB'), ('kesehatan', 'NN')]"
92,"[('dokter', 'NN'), ('anak', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB'), ('sat', 'NN'), ('kondisi', 'NN')]"
93,"[('apliaksi', 'NN'), ('membantu', 'VB'), ('sat', 'NN'), ('darurat', 'NN'), ('tengkyu', 'NN'), ('halodoc', 'FW'), ('ditungu', 'FW'), ('promo', 'FW'), ('menarik', 'VB')]"
94,"[('alhamdulilah', 'MD'), ('memudahkan', 'VB'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('spesialis', 'NN')]"
95,"[('aplikasi', 'NN'), ('dokter', 'NN'), ('keluarga', 'NN'), ('sahabat', 'NN'), ('dijangkau', 'NN'), ('berjarak', 'NN'), ('pu', 'NN'), ('aplikasi', 'NN'), ('sakit', 'NN'), ('pencuri', 'NN'), ('panik', 'JJ'), ('pastikan', 'VB'), ('saldo', 'NN'), ('gopay', 'FW'), ('sederhana', 'NN'), ('hub', 'NN'), ('dokter', 'NN'), ('infokan', 'VB'), ('keluhan', 'NN'), ('dibantu', 'RB'), ('obati', 'VB'), ('tungu', 'NN'), ('obat', 'NN'), ('dikirim', 'FW'), ('instant', 'FW'), ('beli', 'VB'), ('gojek', 'NN'), ('sunguh', 'VB'), ('terobosan', 'NN'), ('bermanfat', 'NN'), ('era', 'NN'), ('pandemi', 'NN'), ('mjd', 'FW'), ('berjarak', 'FW'), ('halodoc', 'FW'), ('mendekatkn', 'FW'), ('dokter', 'FW'), ('sukses', 'FW'), ('halodoc', 'FW')]"
96,"[('sih', 'VB'), ('dokter', 'NN'), ('ngelewatin', 'NN'), ('chat', 'NN'), ('gtu', 'PR'), ('terima', 'VB'), ('ajuan', 'NN'), ('saldo', 'NN'), ('diambil', 'VB'), ('uang', 'NN'), ('diambil', 'VB'), ('konsultasi', 'NN'), ('tolong', 'VB'), ('customer', 'NN'), ('pelayanan', 'NN'), ('sih', 'NN'), ('keluhan', 'NN'), ('rugi', 'JJ'), ('mengecewakan', 'VB'), ('halodoc', 'FW')]"
97,"[('kemarin', 'NN'), ('kamis', 'NN'), ('tanggal', 'NN'), ('maret', 'NN'), ('puluh', 'CD'), ('puluh', 'CD'), ('jam', 'NN'), ('puluh', 'CD'), ('wita', 'NN'), ('telepon', 'NN'), ('mengatasnamakan', 'VB'), ('cal', 'FW'), ('center', 'FW'), ('halo', 'FW'), ('dokter', 'FW'), ('halodoc', 'FW'), ('menginfokan', 'VB'), ('fitur', 'NN'), ('halodoc', 'FW'), ('menyuruh', 'VB'), ('aktivasi', 'NN'), ('biaya', 'NN'), ('paket', 'NN'), ('bulanan', 'NN'), ('rp', 'NN'), ('puluh', 'CD'), ('sembilan', 'CD'), ('nol', 'NN'), ('auto', 'NN'), ('debit', 'NN'), ('bank', 'NN'), ('infokan', 'VB'), ('email', 'NN'), ('aktif', 'JJ'), ('terdaftar', 'IN'), ('percaya', 'NN'), ('halodoc', 'FW'), ('menyetujui', 'VB'), ('informasi', 'NN'), ('gmailatau', 'CC'), ('email', 'NN'), ('dana', 'NN'), ('terpotong', 'VB')]"
98,"[('membant', 'FW'), ('konsultasi', 'NN'), ('rumah', 'NN'), ('kondisi', 'NN'), ('covid', 'FW')]"
99,"[('parah', 'NN'), ('vaksin', 'NN'), ('lanjut', 'VB'), ('usia', 'NN'), ('dosis', 'NN'), ('di', 'IN'), ('sini', 'NN'), ('parah', 'NN'), ('nungu', 'NN'), ('jam', 'NN'), ('tertawa', 'VB'), ('antre', 'NN'), ('heran', 'NN'), ('vaksin', 'NN'), ('lancar', 'JJ'), ('habis', 'VB'), ('buruk', 'JJ'), ('kasian', 'NN'), ('orgtua', 'NN'), ('vaksin', 'NN'), ('di', 'IN'), ('sini', 'PR'), ('lebih', 'RB'), ('baik', 'JJ'), ('aplikasi', 'NN'), ('sebelah', 'NN')]"
100,"[('dokter', 'NN'), ('di', 'IN'), ('sini', 'NN'), ('luamayan', 'NN'), ('berpengalaman', 'NN'), ('fitur', 'NN'), ('fitur', 'NN'), ('membantu', 'VB')]"
101,"[('thankyou', 'NN'), ('halodoc', 'FW'), ('membantu', 'VB'), ('panik', 'NN'), ('keluhan', 'NN')]"
102,"[('kali', 'NND'), ('instal', 'NN'), ('daftarin', 'NN'), ('vaksin', 'NN'), ('lanjut', 'VB'), ('usia', 'NN'), ('tangal', 'JJ'), ('bertuliskan', 'VB'), ('slot', 'NN'), ('tersedia', 'VB'), ('isi', 'NN'), ('data', 'NN'), ('upload', 'FW'), ('ktp', 'FW'), ('giliran', 'NN'), ('submit', 'NN'), ('penuh', 'JJ'), ('tulis', 'VB'), ('auto', 'NN'), ('recheck', 'FW'), ('eh', 'FW'), ('tep', 'FW'), ('tersedia', 'VB'), ('slot', 'NN'), ('resubmit', 'NN'), ('penuh', 'JJ'), ('banget', 'NN'), ('perbaiki', 'VB')]"
103,"[('membantu', 'VB'), ('pembelian', 'NN'), ('obat', 'NN'), ('kota', 'NN')]"
104,"[('membantu', 'VB'), ('memudahkan', 'VB'), ('pasien', 'NN'), ('keluarga', 'NN'), ('pelayanan', 'NN'), ('kesehatan', 'NN')]"
105,"[('konsultasi', 'NN'), ('memuaskan', 'VB'), ('direkomendasikan', 'VB'), ('sat', 'NN'), ('rumah', 'NN'), ('mengurangi', 'VB'), ('mobilitas', 'NN'), ('semoga', 'NN'), ('dokter', 'FW'), ('dokter', 'FW'), ('halodoc', 'FW'), ('sehat', 'JJ'), ('membantu', 'VB'), ('melayani', 'VB'), ('keluhan', 'NN'), ('pasien', 'NN'), ('membutuhkan', 'VB'), ('direkomendasikan', 'VB')]"
106,"[('kasih', 'MD'), ('bintang', 'VB'), ('semoga', 'NN'), ('aplikasi', 'NN'), ('pelayanan', 'NN')]"
107,"[('membantu', 'VB'), ('dokter', 'NN'), ('enak', 'NN'), ('cepat', 'JJ'), ('respon', 'NN')]"
108,"[('puas', 'JJ'), ('pelayanan', 'NN'), ('dilapangan', 'NN'), ('terkait', 'VB'), ('vaksin', 'NN'), ('terima', 'VB'), ('lancar', 'JJ'), ('cepat', 'JJ'), ('petugas', 'NN'), ('ramah', 'NN'), ('sabar', 'NN'), ('penuh', 'JJ'), ('perhatian', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'NN'), ('salam', 'NN'), ('sehat', 'JJ')]"
109,"[('tolong', 'VB'), ('kasih', 'MD'), ('chat', 'VB'), ('docter', 'NN'), ('pembayaran', 'NN')]"
110,"[('konsultasi', 'NN'), ('dokter', 'NN'), ('menghemat', 'NN'), ('thanks', 'FW'), ('halodoc', 'FW')]"
111,"[('terbaik', 'JJ'), ('situasi', 'NN'), ('apapun', 'SC'), ('jam', 'NN'), ('konsultasi', 'NN')]"
112,"[('menyenangkan', 'VB'), ('langsung', 'RB'), ('konsultasi', 'VB'), ('dokter', 'NN'), ('rumah', 'NN')]"
113,"[('janji', 'NN'), ('sesuai', 'JJ'), ('jadwal', 'NN'), ('tersedia', 'VB'), ('lab', 'NN'), ('prodia', 'NN'), ('mega', 'NN'), ('galaxy', 'FW'), ('sby', 'FW'), ('sebelas', 'FW'), ('maret', 'FW'), ('jam', 'NN'), ('sembilan', 'CD'), ('pagi', 'NN'), ('h', 'NN'), ('prodia', 'NN'), ('tutup', 'VB'), ('heran', 'NN'), ('jadwal', 'NN'), ('tersedia', 'VB'), ('aplikasi', 'NN'), ('halodoc', 'NN'), ('orang', 'NN'), ('kecele', 'FW'), ('chat', 'VB'), ('bantuan', 'NN'), ('halodoc', 'FW'), ('slow', 'FW'), ('respon', 'FW'), ('tujuh', 'CD'), ('jam', 'NN'), ('solusi', 'NN'), ('sms', 'FW'), ('halodoc', 'FW'), ('membatalkanatau', 'CC'), ('mereschedul', 'NN'), ('coba', 'VB'), ('aplikasi', 'NN'), ('aplikasi', 'NN'), ('pembatalan', 'NN'), ('h', 'NN'), ('berlaku', 'VB'), ('hinga', 'NN'), ('jam', 'NN'), ('jdwl', 'NN'), ('konsultasi', 'NN'), ('reshedule', 'FW'), ('jam', 'NN'), ('jdwl', 'NN'), ('konsultasi', 'NN'), ('ampun', 'SC'), ('ampun', 'VB'), ('deh', 'IN')]"
114,"[('semoga', 'NN'), ('halodoc', 'FW'), ('membantu', 'VB'), ('pasien', 'NN'), ('konsultasi', 'NN'), ('rumah', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
115,"[('pesan', 'NN'), ('obat', 'NN'), ('halodoc', 'NN'), ('pelayanan', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('langsung', 'RB'), ('dikirim', 'VB'), ('pas', 'NN'), ('urgent', 'FW')]"
116,"[('suka', 'VB'), ('aplikasi', 'NN'), ('membantu', 'VB'), ('pelayanan', 'NN'), ('bagus', 'JJ'), ('kali', 'NN'), ('case', 'NN'), ('kirim', 'NN'), ('barang', 'NN'), ('kekurangan', 'NN'), ('langsung', 'RB'), ('kirim', 'VB'), ('kesokan', 'VB'), ('sukses', 'FW'), ('halodoc', 'FW'), ('ditingkatkan', 'VB'), ('pelayanan', 'NN')]"
117,"[('menolong', 'VB'), ('pertolongan', 'NN'), ('kucing', 'FW'), ('drh', 'FW'), ('membantu', 'VB')]"
118,"[('dokter', 'NN'), ('ramah', 'NN'), ('melayani', 'VB'), ('bijaksna', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
119,"[('terima', 'CD'), ('kasih', 'NN'), ('vaksin', 'NN'), ('covid', 'NN'), ('efek', 'NN'), ('segnifikan', 'VB')]"
120,"[('alhamdulilah', 'MD'), ('membantu', 'VB'), ('urusan', 'NN'), ('kesehatan', 'NN'), ('jam', 'NN')]"
121,"[('enak', 'NN'), ('dipakai', 'VB'), ('aplikasi', 'NN'), ('cari', 'VB'), ('obat', 'NN'), ('harga', 'NN'), ('terjangkau', 'VB')]"
122,"[('keren', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('kandungan', 'NN')]"
123,"[('kasih', 'MD'), ('bintang', 'VB'), ('kasih', 'NN'), ('sepuluh', 'CD'), ('aplikasi', 'NN'), ('terbaik', 'JJ'), ('pembelian', 'NN'), ('kebutuhan', 'NN'), ('medis', 'JJ'), ('disat', 'NN'), ('darurat', 'NN'), ('rumah', 'NN'), ('bagus', 'JJ'), ('masukan', 'VB'), ('tertawa', 'VB'), ('semoga', 'NN'), ('apotek', 'NN'), ('aplikasi', 'NN'), ('jarak', 'NN'), ('pickup', 'RB'), ('obat', 'VB')]"
124,"[('puas', 'JJ'), ('konsultasi', 'NN'), ('dokter', 'FW'), ('halodoc', 'FW'), ('pas', 'VB'), ('papua', 'CD'), ('susah', 'NN'), ('nebus', 'VB'), ('obat', 'NN'), ('tertawa', 'VB'), ('nunjukin', 'RB'), ('chat', 'VB'), ('obat', 'NN'), ('untung', 'NN'), ('tanda', 'NN'), ('tangan', 'NN')]"
125,"[('niat', 'NN'), ('instal', 'NN'), ('aplikasi', 'NN'), ('mempermudah', 'MD'), ('beli', 'VB'), ('obat', 'NN'), ('kondisi', 'NN'), ('sakit', 'NN'), ('kos', 'NN'), ('beli', 'VB'), ('estimasi', 'NN'), ('aplikasi', 'NN'), ('cocok', 'NN'), ('kondisi', 'NN'), ('urgent', 'FW'), ('beli', 'VB'), ('obat', 'NN'), ('orang', 'NN'), ('sakit', 'NN'), ('parah', 'NN'), ('terlanjur', 'NN'), ('wasalam', 'NN'), ('obat', 'NN'), ('mengedit', 'NN'), ('ulasan', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'FW'), ('diperbaiki', 'VB'), ('sistemnya', 'RB')]"
126,"[('selamat', 'NN'), ('siang', 'NN'), ('salam', 'NN'), ('telepon', 'NN'), ('mengatas', 'NN'), ('namakan', 'VB'), ('halodoc', 'NN'), ('biaya', 'NN'), ('claim', 'NN'), ('pengaktifan', 'NN'), ('biaya', 'NN'), ('bulanan', 'NN'), ('menyebut', 'VB'), ('nomor', 'NN'), ('rek', 'NN'), ('sistem', 'NN'), ('pemotongan', 'NN'), ('puluh', 'CD'), ('sembilan', 'CD'), ('ribu', 'CD'), ('mohon', 'NND'), ('konfirmasi', 'NN'), ('halodoc', 'FW'), ('takut', 'FW'), ('saldo', 'FW'), ('tepotong', 'VB'), ('terima', 'CD'), ('kasih', 'MD')]"
127,"[('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
128,"[('konsultasi', 'NN'), ('dokter', 'NN'), ('nyaman', 'NN'), ('sat', 'NN'), ('keluhan', 'NN'), ('foto', 'NN'), ('langsung', 'RB'), ('area', 'NN'), ('sakit', 'NN'), ('pertanyan', 'NN'), ('dokter', 'NN'), ('detail', 'NN'), ('semoga', 'NN'), ('resep', 'NN'), ('cocok', 'NN'), ('mengatasi', 'VB'), ('keluhan', 'NN'), ('terima', 'VB'), ('kasih', 'MD'), ('dok', 'VB')]"
129,"[('praktis', 'JJ'), ('oke', 'NN'), ('dokter', 'NN'), ('keluhan', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
130,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'NN'), ('aplikasi', 'NN'), ('terpercaya', 'NN'), ('chat', 'VB'), ('langsung', 'RB'), ('dokter', 'JJ')]"
131,"[('coba', 'VB'), ('kaji', 'NN'), ('vaksin', 'NN'), ('mitra', 'NN'), ('ojol', 'NN'), ('sejati', 'VB'), ('mitra', 'NN'), ('pakai', 'VB'), ('ojol', 'NN'), ('mencari', 'VB'), ('rezeki', 'VB'), ('gojek', 'NN'), ('grab', 'FW'), ('indriver', 'FW'), ('maxim', 'FW'), ('ntr', 'FW'), ('wajib', 'JJ'), ('vaksin', 'NN'), ('mitran', 'NN'), ('repot', 'FW'), ('batalin', 'FW'), ('krj', 'FW'), ('vaksin', 'NN'), ('biar', 'CD'), ('mitra', 'NN'), ('vaksin', 'NN'), ('aparatur', 'NN'), ('pemerintah', 'NN')]"
132,"[('halo', 'NN'), ('dokter', 'NN'), ('anak', 'NN'), ('bayi', 'NN'), ('berusia', 'VB'), ('anak', 'NN'), ('rawat', 'NN'), ('rumah', 'NN'), ('sakit', 'NN'), ('hasil', 'NN'), ('rongsen', 'NN'), ('mengidap', 'IN'), ('penyakit', 'NN'), ('radang', 'NN'), ('paru', 'MD'), ('tolong', 'VB'), ('dokter', 'NN'), ('anak', 'NN'), ('sembuh', 'VB'), ('total', 'NN'), ('penyakit', 'NN'), ('trimaksih', 'MD')]"
133,"[('respon', 'NN'), ('dokter', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
134,"[('aplikasi', 'NN'), ('berguna', 'SC'), ('terima', 'VB'), ('kasih', 'MD'), ('mengadakan', 'VB'), ('kegiatan', 'NN'), ('vaksin', 'NN'), ('serentak', 'NN'), ('prambanan', 'NN'), ('sleman', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('pemerintahan', 'NN'), ('diy', 'FW'), ('yogyakarta', 'CC'), ('sponsor', 'NN'), ('kegiatan', 'NN'), ('semoga', 'NN'), ('pembuatan', 'NN'), ('kegiatan', 'NN'), ('pahala', 'NN'), ('berlimpah', 'NN'), ('tuhan', 'NN'), ('maha', 'NN'), ('esa', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('terbaik', 'JJ'), ('regard', 'FW'), ('beny', 'FW')]"
135,"[('posisi', 'NN'), ('pengambilan', 'NN'), ('obat', 'NN'), ('rumah', 'NN'), ('menungu', 'NN')]"
136,"[('janji', 'NN'), ('buka', 'VB'), ('pas', 'NN'), ('jam', 'NN'), ('dokter', 'NN'), ('ngak', 'NN'), ('balas', 'JJ'), ('balas', 'VB'), ('tbtb', 'NN'), ('dibatalkan', 'VB'), ('tulisan', 'NN'), ('aplikasi', 'NN'), ('daring', 'NN'), ('mengecewakan', 'VB'), ('mendownload', 'NN'), ('butuh', 'VB'), ('mah', 'NN'), ('ngak', 'NN'), ('berguna', 'SC'), ('donasikan', 'VB'), ('menu', 'NN'), ('donasi', 'NN'), ('pilihan', 'NN'), ('pembayaran', 'NN'), ('saldo', 'NN'), ('halodoc', 'FW'), ('menunjukan', 'VB'), ('pelayanan', 'NN'), ('sebanding', 'NN'), ('aplikasi', 'NN'), ('sebelah', 'NN')]"
137,"[('halo', 'FW'), ('doc', 'FW'), ('klg', 'FW'), ('periksa', 'VB'), ('pacar', 'NN'), ('hasil', 'NN'), ('h', 'NN'), ('periksa', 'VB'), ('tanggal', 'NN'), ('maret', 'FW'), ('jam', 'FW'), ('puluh', 'FW'), ('drive', 'FW'), ('thru', 'FW'), ('kemayoran', 'NN'), ('tanggal', 'NN'), ('maret', 'NN'), ('jam', 'NN'), ('delapan', 'CD'), ('hsl', 'NN'), ('sih', 'NN'), ('butuh', 'VB'), ('hsl', 'NN'), ('cepat', 'JJ'), ('pelayanan', 'NN'), ('pemeriksan', 'NN'), ('covid', 'FW'), ('dihalo', 'FW'), ('doc', 'FW'), ('menurun', 'VB'), ('iya', 'NN'), ('periksa', 'NN'), ('gratis', 'JJ'), ('lho', 'NNP')]"
138,"[('pengalaman', 'NN'), ('asyik', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('pilihan', 'NN')]"
139,"[('mohon', 'NN'), ('maf', 'NN'), ('kasih', 'NN'), ('bintang', 'NN'), ('jelek', 'NN'), ('pelayanan', 'NN'), ('pesan', 'NN'), ('vitamin', 'NN'), ('tangal', 'VB'), ('estimasi', 'NN'), ('tangal', 'VB'), ('skrng', 'NN'), ('proses', 'NN'), ('tolong', 'VB'), ('customer', 'FW'), ('service', 'FW'), ('telepon', 'FW'), ('chat', 'VB'), ('cek', 'NN'), ('cek', 'NN'), ('cek', 'NN'), ('pembatalan', 'NN'), ('pesanan', 'NN'), ('beli', 'VB'), ('e', 'FW'), ('comerce', 'FW'), ('saldo', 'FW'), ('tarik', 'FW'), ('rekening', 'FW'), ('tolong', 'VB'), ('tingkatkan', 'VB'), ('pelayanan', 'NN'), ('tolong', 'VB'), ('kirim', 'NN'), ('pesanan', 'NN')]"
140,"[('membantu', 'VB'), ('terima', 'CD'), ('ksh', 'NN'), ('dokter', 'NN'), ('aplikasi', 'NN')]"
141,"[('memudahkan', 'VB'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('bertemu', 'VB'), ('langsung', 'RB')]"
142,"[('konsultasi', 'NN'), ('keluhan', 'NN'), ('mudah', 'JJ'), ('ribet', 'FW'), ('antre', 'FW'), ('rumah', 'NN'), ('sakit', 'JJ')]"
143,"[('dokter', 'NN'), ('gratis', 'JJ'), ('iya', 'PRP')]"
144,"[('tertolong', 'VB'), ('zaman', 'NN'), ('covid', 'NN'), ('takut', 'JJ'), ('rumah', 'NN'), ('sakit', 'NN'), ('lho', 'NN'), ('konsultasi', 'NN'), ('hewan', 'NN'), ('peliharan', 'NN'), ('konsultasi', 'NN'), ('gigi', 'NN'), ('pokok', 'NN'), ('tertolong', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halo', 'FW'), ('doc', 'FW')]"
145,"[('penjelasan', 'NN'), ('dokter', 'NN'), ('lengkap', 'VB'), ('ramah', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
146,"[('halodoc', 'NN'), ('terbaik', 'JJ'), ('diandalkan', 'VB')]"
147,"[('malam', 'NN'), ('malam', 'NN'), ('sat', 'NN'), ('sakit', 'JJ'), ('bingung', 'VB'), ('na', 'NN'), ('ke', 'IN'), ('mana', 'WH'), ('halodoc', 'FW'), ('keluhan', 'NN'), ('obat', 'NN'), ('langsung', 'RB'), ('diantar', 'VB'), ('tertawa', 'VB'), ('kendala', 'NN'), ('pengiriman', 'NN'), ('kadang', 'NN'), ('driver', 'NN'), ('kontak', 'NN'), ('langsung', 'RB'), ('teleponya', 'RB')]"
148,"[('daring', 'NN'), ('sat', 'NN'), ('pilihan', 'NN'), ('aman', 'JJ')]"
149,"[('membantu', 'VB'), ('transaksi', 'NN'), ('biaya', 'NN'), ('permudah', 'JJ'), ('iya', 'PRP')]"
150,"[('percakapan', 'NN'), ('dokter', 'NN'), ('arahan', 'NN'), ('bagus', 'JJ')]"
151,"[('ta', 'NN'), ('vaksin', 'NN'), ('csembilan', 'NN'), ('belas', 'NN'), ('tanggal', 'NN'), ('sembilan', 'CD'), ('maret', 'NN'), ('nol', 'NN'), ('daftar', 'NN'), ('vaksin', 'NN'), ('kode', 'NN'), ('kupon', 'NN'), ('dikirim', 'VB'), ('urus', 'RB'), ('terima', 'VB'), ('kasih', 'MD')]"
152,"[('membantu', 'VB'), ('berkonsultasi', 'NN'), ('langsung', 'RB'), ('dokter', 'JJ')]"
153,"[('manteb', 'NN'), ('sih', 'NN'), ('dokter', 'NN'), ('susah', 'NN'), ('mahal', 'JJ')]"
154,"[('bayar', 'VB'), ('dokter', 'NN'), ('sibuk', 'NN'), ('chat', 'VB'), ('ulang', 'VB'), ('digubris', 'NN'), ('nyapa', 'CD'), ('bilang', 'NN'), ('dokter', 'NN'), ('sibuk', 'NN'), ('gopay', 'FW'), ('kpotong', 'VB'), ('pengembalian', 'NN'), ('dana', 'NN'), ('mohon', 'RB'), ('diprtimbngkan', 'VB'), ('dokter', 'NN'), ('gubris', 'NN'), ('dilaporkan', 'VB'), ('sibuk', 'NN'), ('sedang', 'MD'), ('apa', 'WH'), ('coba', 'VB'), ('berani', 'VB'), ('daftar', 'NN'), ('halodoc', 'NN'), ('risiko', 'NN'), ('nerima', 'CD'), ('permintan', 'NN'), ('konsultasi', 'NN'), ('pasien', 'NN'), ('manapun', 'SC'), ('donk', 'NN'), ('diemin', 'NN'), ('gajls', 'NN'), ('pengembalian', 'NN'), ('dana', 'NN'), ('flexible', 'FW'), ('kali', 'NN'), ('xempat', 'NN'), ('jam', 'NN'), ('respon', 'NN'), ('sesi', 'NN'), ('berbayar', 'VB'), ('hak', 'NN'), ('pasien', 'NN'), ('jangn', 'NN'), ('makan', 'VB'), ('gaji', 'NN'), ('buta', 'NN'), ('chat', 'VB'), ('puluh', 'CD'), ('diam', 'NN'), ('diam', 'VB')]"
155,"[('tangal', 'VB'), ('delapan', 'CD'), ('maret', 'NN'), ('puluh', 'CD'), ('puluh', 'CD'), ('saldo', 'NN'), ('anjungan', 'NN'), ('tunai', 'IN'), ('mandiri', 'NN'), ('ambil', 'VB'), ('puluh', 'CD'), ('sembilan', 'CD'), ('nol', 'NN'), ('program', 'NN'), ('adakan', 'VB'), ('halodocter', 'NN'), ('kemarin', 'NN'), ('telepon', 'NN'), ('mengatasnamakan', 'VB'), ('customer', 'FW'), ('service', 'FW'), ('halodocter', 'FW'), ('rugikan', 'VB'), ('berhenti', 'NN'), ('berhenti', 'NN'), ('langanan', 'NN')]"
156,"[('transaksi', 'NN'), ('gagal', 'JJ'), ('saldo', 'NN'), ('kepotong', 'VB'), ('pas', 'NN'), ('diliat', 'NN'), ('riwayat', 'NN'), ('transaksi', 'NN')]"
